n,avg_priority_ratio,avg_min_cost_flow_ratio
479,20.2407,26.7378
290,52.8812,67.277
136,26.0731,36.184
173,23.3102,34.8995
486,19.745,32.2326
249,37.446,73.6329
155,48.8666,59.4224
328,19.1639,29.5294
110,32.5433,43.22
405,55.1746,124.933
440,29.8978,60.9024
58,61.0133,79.6297
466,24.4415,42.975
193,29.7145,74.4407
423,19.724,40.9514
326,66.6278,91.3634
237,35.994,56.5152
313,85.3811,276.979
363,21.2941,30.6534
272,25.1236,34.0033
356,19.3921,29.0114
254,69.2611,108.27
148,59.1363,84.302
83,34.9428,51.2106
370,21.7427,33.8267
211,26.4552,42.3936
335,27.7146,42.6088
418,81.4711,165.463
26,58.9035,67.5881
390,28.6505,39.018
63,45.2095,94.187
292,30.8518,60.5071
45,81.6377,110.948
45,81.6377,110.948
292,30.8518,60.5071
26,58.9035,67.5881
418,81.4711,165.463
63,45.2095,94.187
390,28.6505,39.018
370,21.7427,33.8267
83,34.9428,51.2106
148,59.1363,84.302
254,69.2611,108.27
335,27.7146,42.6088
211,26.4552,42.3936
313,85.3811,276.979
237,35.994,56.5152
326,66.6278,91.3634
356,19.3921,29.0114
272,25.1236,34.0033
363,21.2941,30.6534
193,29.7145,74.4407
466,24.4415,42.975
58,61.0133,79.6297
423,19.724,40.9514
405,55.1746,124.933
440,29.8978,60.9024
155,48.8666,59.4224
249,37.446,73.6329
110,32.5433,43.22
328,19.1639,29.5294
136,26.0731,36.184
486,19.745,32.2326
173,23.3102,34.8995
290,52.8812,67.277
479,20.2407,26.7378
47,165.042,168.08
392,141.41,254.96
61,169.985,171.979
283,231.998,332.151
24,68.0094,92.534
302,18.9828,29.6639
213,30.3985,37.9891
337,23.1669,38.8513
347,22.2373,83.2441
256,45.501,73.9682
81,34.9334,79.2843
372,19.1168,37.2599
270,29.0141,62.5321
92,44.1181,57.4358
354,26.0009,41.2047
129,189.93,199.768
235,30.874,55.22
311,21.4819,33.9318
421,36.4547,55.9946
464,53.6685,81.111
191,22.3982,28.5807
182,34.272,51.1397
442,223.229,338.782
39,57.0452,67.8087
407,14.4339,20.629
9,129.66,194.55
112,52.7388,75.1116
497,57.3657,140.234
157,37.0853,105.279
349,50.6164,125.863
171,28.0598,36.4838
484,51.6782,79.7621
134,24.9317,34.4477
228,100.119,306.082
52,61.457,86.2421
459,20.2271,32.541
394,25.6956,40.8605
67,44.8755,65.1203
17,27.1014,30.5939
22,63.9739,73.6244
296,32.947,66.6997
387,24.6572,71.1054
41,363.017,914.719
276,44.8307,85.1509
243,23.3791,38.5645
352,36.4705,44.0248
233,25.9147,52.1565
206,42.0829,63.519
317,33.7575,42.3531
215,39.6254,78.8822
109,47.0995,73.3427
331,34.2654,58.6246
250,30.1895,36.6633
87,1569.54,1588.04
374,21.7426,36.7439
389,23.0105,61.2697
444,16.6194,25.3704
401,30.4823,58.146
19,169.415,181.437
412,15.5155,19.8983
427,494.349,502.027
457,25.4247,48.5883
462,37.0051,52.0171
197,31.4303,42.8758
142,43.549,132.999
177,22.6693,29.9444
482,32.1937,63.2745
107,42.2504,61.9626
132,29.6864,47.6933
208,60.0205,109.482
114,42.7841,71.5511
369,41.8503,159.189
151,91.0755,104.749
20,29.1554,29.4734
65,45.9684,63.8711
396,37.8275,57.4739
43,48.0031,55.2939
294,33.6985,51.4052
76,32.1246,39.4187
188,37.4006,50.6491
438,35.438,93.963
33,24.4276,24.4456
315,33.8764,71.0336
231,31.155,43.8232
3,92.1608,107.61
350,27.9884,39.4317
274,32.4615,53.6169
168,24.6285,38.2445
376,20.9368,42.4496
85,57.6127,61.757
267,30.1428,46.1689
252,169.02,174.292
333,25.1676,44.9421
222,32.4642,53.7865
217,21.2005,24.6389
403,22.8667,30.7885
436,20.9966,70.0677
446,26.2281,40.1998
473,19.759,25.1356
78,43.0615,53.2163
289,50.0995,72.9648
195,38.6078,51.2229
460,22.7116,42.9153
425,16.7387,28.6763
130,35.7699,49.0814
308,28.2493,47.3715
480,25.6758,49.6922
269,50.9915,93.0247
175,22.7109,28.5416
153,78.1325,88.6634
98,117.246,210.341
166,44.2545,57.0706
116,27.6351,37.5544
123,175.938,759.804
140,41.5317,56.42
269,50.9915,93.0247
175,22.7109,28.5416
480,25.6758,49.6922
378,44.7486,53.108
308,28.2493,47.3715
105,56.8587,65.1573
130,35.7699,49.0814
116,27.6351,37.5544
98,117.246,210.341
153,78.1325,88.6634
78,43.0615,53.2163
446,26.2281,40.1998
403,22.8667,30.7885
410,18.173,33.486
425,16.7387,28.6763
455,17.9156,27.2117
460,22.7116,42.9153
289,50.0995,72.9648
195,38.6078,51.2229
274,32.4615,53.6169
168,24.6285,38.2445
241,47.8042,112.282
350,27.9884,39.4317
231,31.155,43.8232
204,46.9741,59.0217
315,33.8764,71.0336
217,21.2005,24.6389
333,25.1676,44.9421
252,169.02,174.292
85,57.6127,61.757
376,20.9368,42.4496
50,35.0739,52.2287
396,37.8275,57.4739
65,45.9684,63.8711
15,46.434,47.2364
20,29.1554,29.4734
438,35.438,93.963
294,33.6985,51.4052
188,37.4006,50.6491
385,20.6862,37.9154
43,48.0031,55.2939
132,29.6864,47.6933
482,32.1937,63.2745
177,22.6693,29.9444
89,34.3371,43.6514
151,91.0755,104.749
164,86.3844,130.146
369,41.8503,159.189
319,27.6472,39.7273
208,60.0205,109.482
114,42.7841,71.5511
121,23.0231,26.1288
401,30.4823,58.146
434,681.545,766.292
444,16.6194,25.3704
389,23.0105,61.2697
471,30.7915,58.4285
298,22.0797,35.7693
197,31.4303,42.8758
462,37.0051,52.0171
427,494.349,502.027
19,169.415,181.437
317,33.7575,42.3531
233,25.9147,52.1565
352,36.4705,44.0248
276,44.8307,85.1509
374,21.7426,36.7439
87,1569.54,1588.04
265,52.0714,78.9102
250,30.1895,36.6633
331,34.2654,58.6246
220,22.4891,31.6197
215,39.6254,78.8822
109,47.0995,73.3427
22,63.9739,73.6244
199,26.2627,36.7769
67,44.8755,65.1203
394,25.6956,40.8605
459,20.2271,32.541
41,363.017,914.719
296,32.947,66.6997
74,34.71,56.1311
31,122.464,291.809
157,37.0853,105.279
112,52.7388,75.1116
9,129.66,194.55
134,24.9317,34.4477
228,100.119,306.082
484,51.6782,79.7621
171,28.0598,36.4838
258,23.4262,44.9572
349,50.6164,125.863
191,22.3982,28.5807
464,53.6685,81.111
421,36.4547,55.9946
407,14.4339,20.629
39,57.0452,67.8087
49,115.504,323.996
442,223.229,338.782
372,19.1168,37.2599
81,34.9334,79.2843
256,45.501,73.9682
337,23.1669,38.8513
213,30.3985,37.9891
311,21.4819,33.9318
129,189.93,199.768
235,30.874,55.22
324,80.3545,95.6654
354,26.0009,41.2047
159,86.6946,127.497
270,29.0141,62.5321
361,145.223,307.961
47,165.042,168.08
479,20.2407,26.7378
290,52.8812,67.277
409,22.7484,28.991
24,68.0094,92.534
61,169.985,171.979
392,141.41,254.96
328,19.1639,29.5294
239,18.4288,27.9697
110,32.5433,43.22
495,36.9859,47.0541
155,48.8666,59.4224
249,37.446,73.6329
173,23.3102,34.8995
486,19.745,32.2326
136,26.0731,36.184
423,19.724,40.9514
28,87.1785,145.235
58,61.0133,79.6297
466,24.4415,42.975
193,29.7145,74.4407
180,26.9948,35.5278
440,29.8978,60.9024
405,55.1746,124.933
300,49.4337,98.8584
211,26.4552,42.3936
138,36.1439,55.8195
335,27.7146,42.6088
345,25.3768,49.6413
148,59.1363,84.302
254,69.2611,108.27
83,34.9428,51.2106
370,21.7427,33.8267
272,25.1236,34.0033
90,44.5853,63.6856
356,19.3921,29.0114
237,35.994,56.5152
313,85.3811,276.979
292,30.8518,60.5071
45,81.6377,110.948
390,28.6505,39.018
468,29.0382,58.7564
63,45.2095,94.187
281,40.4241,65.2217
418,81.4711,165.463
26,58.9035,67.5881
63,45.2095,94.187
281,40.4241,65.2217
468,29.0382,58.7564
390,28.6505,39.018
26,58.9035,67.5881
418,81.4711,165.463
45,81.6377,110.948
292,30.8518,60.5071
356,19.3921,29.0114
272,25.1236,34.0033
90,44.5853,63.6856
313,85.3811,276.979
237,35.994,56.5152
335,27.7146,42.6088
138,36.1439,55.8195
211,26.4552,42.3936
300,49.4337,98.8584
370,21.7427,33.8267
83,34.9428,51.2106
254,69.2611,108.27
148,59.1363,84.302
345,25.3768,49.6413
440,29.8978,60.9024
180,26.9948,35.5278
405,55.1746,124.933
28,87.1785,145.235
423,19.724,40.9514
193,29.7145,74.4407
466,24.4415,42.975
58,61.0133,79.6297
486,19.745,32.2326
173,23.3102,34.8995
136,26.0731,36.184
110,32.5433,43.22
239,18.4288,27.9697
328,19.1639,29.5294
249,37.446,73.6329
155,48.8666,59.4224
495,36.9859,47.0541
24,68.0094,92.534
392,141.41,254.96
61,169.985,171.979
290,52.8812,67.277
479,20.2407,26.7378
47,165.042,168.08
409,22.7484,28.991
324,80.3545,95.6654
235,30.874,55.22
129,189.93,199.768
311,21.4819,33.9318
361,145.223,307.961
270,29.0141,62.5321
159,86.6946,127.497
354,26.0009,41.2047
256,45.501,73.9682
81,34.9334,79.2843
372,19.1168,37.2599
213,30.3985,37.9891
337,23.1669,38.8513
39,57.0452,67.8087
407,14.4339,20.629
442,223.229,338.782
49,115.504,323.996
464,53.6685,81.111
191,22.3982,28.5807
421,36.4547,55.9946
228,100.119,306.082
134,24.9317,34.4477
349,50.6164,125.863
258,23.4262,44.9572
171,28.0598,36.4838
484,51.6782,79.7621
157,37.0853,105.279
9,129.66,194.55
112,52.7388,75.1116
296,32.947,66.6997
74,34.71,56.1311
41,363.017,914.719
31,122.464,291.809
22,63.9739,73.6244
459,20.2271,32.541
394,25.6956,40.8605
67,44.8755,65.1203
199,26.2627,36.7769
250,30.1895,36.6633
87,1569.54,1588.04
265,52.0714,78.9102
374,21.7426,36.7439
109,47.0995,73.3427
215,39.6254,78.8822
220,22.4891,31.6197
331,34.2654,58.6246
233,25.9147,52.1565
317,33.7575,42.3531
276,44.8307,85.1509
352,36.4705,44.0248
462,37.0051,52.0171
197,31.4303,42.8758
19,169.415,181.437
427,494.349,502.027
434,681.545,766.292
401,30.4823,58.146
298,22.0797,35.7693
471,30.7915,58.4285
389,23.0105,61.2697
444,16.6194,25.3704
369,41.8503,159.189
164,86.3844,130.146
151,91.0755,104.749
121,23.0231,26.1288
114,42.7841,71.5511
208,60.0205,109.482
319,27.6472,39.7273
132,29.6864,47.6933
89,34.3371,43.6514
177,22.6693,29.9444
482,32.1937,63.2745
438,35.438,93.963
43,48.0031,55.2939
385,20.6862,37.9154
188,37.4006,50.6491
294,33.6985,51.4052
65,45.9684,63.8711
396,37.8275,57.4739
50,35.0739,52.2287
20,29.1554,29.4734
15,46.434,47.2364
333,25.1676,44.9421
217,21.2005,24.6389
376,20.9368,42.4496
85,57.6127,61.757
252,169.02,174.292
350,27.9884,39.4317
241,47.8042,112.282
168,24.6285,38.2445
274,32.4615,53.6169
315,33.8764,71.0336
204,46.9741,59.0217
231,31.155,43.8232
425,16.7387,28.6763
410,18.173,33.486
195,38.6078,51.2229
289,50.0995,72.9648
460,22.7116,42.9153
455,17.9156,27.2117
446,26.2281,40.1998
