filename,n,greedy_cost,min_cost_flow_cost,greedy_time,min_cost_flow_time,priority_cost,priority_time
input/fake_instances/fake_47_3.csv,47,842.202,565.845,0.016667,0.801917,575.353,0.530834
input/fake_instances/fake_479_4.csv,479,3806.38,2640.19,0.885292,67.6487,2898.14,54.0196
input/fake_instances/fake_381_8.csv,381,4479.29,3049.37,0.635041,34.385,3370.97,33.6018
input/fake_instances/fake_290_5.csv,290,2422.46,1593.73,0.374541,19.895,1735.45,22.1834
input/fake_instances/fake_61_0.csv,61,885.754,677.914,0.023625,0.977958,714.911,1.00154
input/fake_instances/fake_392_2.csv,392,3245.29,2309.72,0.666458,43.0856,2479.63,42.5735
input/fake_instances/fake_54_9.csv,54,971.685,727.77,0.020417,0.710583,796.877,0.727375
input/fake_instances/fake_24_0.csv,24,505.088,423.537,0.006833,0.131458,475.268,0.136875
input/fake_instances/fake_11_9.csv,11,297.652,202.963,0.002583,0.036792,213.744,0.038125
input/fake_instances/fake_337_7.csv,337,2753.11,1891.82,0.5085,24.293,2093.53,24.9122
input/fake_instances/fake_213_3.csv,213,2087.27,1507.88,0.199459,9.96462,1634.79,11.5593
input/fake_instances/fake_372_7.csv,372,3616.59,2703.69,0.634458,34.2377,2952.36,32.6725
input/fake_instances/fake_81_5.csv,81,1369.55,903.103,0.037292,1.54967,965.925,1.60517
input/fake_instances/fake_256_3.csv,256,2505.77,1704.87,0.3445,14.9403,1854.66,16.0513
input/fake_instances/fake_354_4.csv,354,2608.75,1790.51,0.519042,31.3732,1970.67,28.4331
input/fake_instances/fake_245_9.csv,245,2214.82,1586.15,0.265917,14.2613,1772.55,14.2461
input/fake_instances/fake_270_0.csv,270,2260.97,1729.01,0.32125,17.0663,1887.54,17.42
input/fake_instances/fake_311_4.csv,311,2775.77,1893.06,0.417167,22.1969,2073.01,23.153
input/fake_instances/fake_200_9.csv,200,1974.54,1326.34,0.195167,8.34579,1421.82,9.65783
input/fake_instances/fake_129_5.csv,129,1430.49,1079.02,0.08425,4.48646,1129.81,4.17079
input/fake_instances/fake_235_0.csv,235,2627.22,1771.01,0.269125,11.3953,1894,14.8598
input/fake_instances/fake_58_4.csv,58,753.517,592.722,0.021042,0.750375,635.64,0.853542
input/fake_instances/fake_466_3.csv,466,4364.84,2888.07,0.902583,50.883,3185.77,51.7209
input/fake_instances/fake_193_7.csv,193,1904.5,1284.24,0.168333,6.64971,1413.14,8.32317
input/fake_instances/fake_423_3.csv,423,3235.12,2240.04,0.702125,43.4158,2415.12,42.0837
